Query feature,Corpus Relative,Relevance Changing,Example,Group,Method,Subgroups,Why?
Structured Identifiers,No,,,Parent,REGEX,,Span-emitting banks across 8 identifier domains. Presence of any identifier type signals query specificity and sparse-retrieval alignment — exact token match matters.
number,No,No,"42, 3.14159, 1e-9",Lexogram,REGEX,general,Plain numerics appear in every domain; anchor for quantity-specific retrieval.
datetime,No,No,"2026-07-08T10:00Z, 1751968800",Lexogram,REGEX,general,Absolute time references demand exact-match on date tokens — sparse advantage.
business_temporal,No,No,"Q3 2026, FY25, CW28, Sprint 42",Lexogram,REGEX,general,Fiscal / calendar references; domain-specific abbreviations invisible to dense without fine-tuning.
ip_address,No,No,"192.168.1.1, 2001:db8::1",Lexogram,REGEX,network,Infrastructure queries where the exact address is the intent — sparse required.
mac_address,No,No,00:1B:44:11:3A:B7,Lexogram,REGEX,network,Hardware identifiers; bit-exact matching.
email,No,No,jane.doe@example.com,Lexogram,REGEX,network,Structured format; partial matches (domain-only) mislead dense.
host_port,No,No,"localhost:6333, qdrant.tech",Lexogram,REGEX,network,Network endpoints — hostname:port is an atomic unit for exact retrieval.
cidr,No,No,"192.168.0.0/16, 10.0.0.0/8",Lexogram,REGEX,network,Subnet notation; range semantics require exact prefix match.
api_key,No,No,"sk-…, AKIA…, ghp_…",Lexogram,REGEX,network,Secret token shapes — detection enables redaction / routing away from logging.
http_status_code,No,No,"error 503, HTTP 429",Lexogram,REGEX,network,Status codes are precise lookup keys in error-documentation corpora.
version_string,No,No,"v1.2.3, 2.0.0-beta.1",Lexogram,REGEX,tech,Semver tokens must match exactly — dense blurs patch/minor boundaries.
uuid,No,No,550e8400-e29b-41d4-a716-446655440000,Lexogram,REGEX,tech,Random identifiers; no semantic content for dense to exploit.
uri,No,No,"https://qdrant.tech/docs, s3://bucket/path",Lexogram,REGEX,tech,URIs are atomic lookup keys; dense embeddings cannot reconstruct path semantics.
cve,No,No,CVE-2024-3094,Lexogram,REGEX,tech,Vulnerability IDs are exact lookup keys in security corpora — sparse dominates.
code_identifier,No,No,"getUserById, os.path.join, MY_CONSTANT",Lexogram,REGEX,tech,"camelCase / snake_case / dotted path tokens — code corpora index on exact identifiers, not paraphrases."
package_coordinate,No,No,"@types/node, org.apache:kafka",Lexogram,REGEX,tech,Package registry coordinates are precise — version pinning requires exact match.
error_code_like,No,No,"EACCES, ERR_CONNECTION_REFUSED",Lexogram,REGEX,tech,POSIX / Node error-code-shaped tokens. Assumptive (MODERATE): collides with screaming identifiers in scientific text.
env_var,No,No,"$QDRANT__SERVICE__PORT, --force",Lexogram,REGEX,tech,Environment variables and CLI flags are exact configuration keys.
hex_color,No,No,#FF5733,Lexogram,REGEX,tech,Color codes are exact values; design/CSS corpora index them directly.
value_with_unit,No,No,"16GB, 3.5mm, 240Hz",Lexogram,REGEX,tech,Quantity + unit is an atomic spec; dense may paraphrase the unit but lose the quantity.
standards_citation,No,No,"RFC 9110, ISO/IEC 27001, IEEE 802.11ax",Lexogram,REGEX,tech,Standards references are exact document keys — mismatching RFC numbers is a hard failure.
file_path,No,No,"/etc/qdrant/config.yaml, C:\Users\andrei\report.csv",Lexogram,REGEX,tech,File system paths are exact; dense cannot generalise across OS path conventions usefully.
crypto_address,No,No,bc1qxy2kgdyg…,Lexogram,REGEX,tech,On-chain addresses are unique and exact — any paraphrase is wrong.
game_notation_like,No,No,"Nf3, O-O, rnbqkbnr/pppppppp/8/…",Lexogram,REGEX,tech,Chess PGN/FEN moves. Assumptive (MODERATE): letter-digit shapes collide with gene names / protein mutations under domain shift.
currency_amount,No,No,"€499.99, $1,200",Lexogram,REGEX,finance,Price strings require exact numeric match; dense cannot reliably distinguish $499 from $4990.
iban,No,No,DE89 3704 0044 0532 0130 00,Lexogram,REGEX,finance,Bank account numbers are exact identifiers — no semantic proximity is meaningful.
bic,No,No,"DEUTDEFF, MARKDEF1100",Lexogram,REGEX,finance,SWIFT / BIC codes are exact institution keys.
securities_id,No,No,"US0378331005, 037833100",Lexogram,REGEX,finance,ISIN / CUSIP are globally unique securities keys.
stock_ticker_like,No,No,"$AAPL, NVDA",Lexogram,REGEX,finance,"Ticker-shaped tokens. Assumptive (AMBIGUOUS): worst FP generator — fires on gene names (DNA, TCR, ADHD) in scientific corpora."
lei,No,No,529900T8BM49AURSDO55,Lexogram,REGEX,finance,20-char legal entity identifier — exact match only.
derivatives_symbol_like,No,No,"AAPL240119C00150000, ESH25",Lexogram,REGEX,finance,"OCC option / futures symbol shapes. Assumptive (MODERATE): domain-shift-prone (ALDH1, PIN1 in biomedical text)."
market_code,No,No,"XNYS, 021000021, BBG000BLNNH6",Lexogram,REGEX,finance,Market infrastructure codes (MIC / ABA routing / FIGI) are exact institutional keys.
industry_code,No,No,"NAICS 541511, SIC 7372",Lexogram,REGEX,finance,Industry classification codes are precise lookup keys in regulatory / business corpora.
business_registration,No,No,"EIN 12-3456789, DUNS 150483782",Lexogram,REGEX,finance,Company registration numbers are exact administrative identifiers.
tax_id,No,No,DE123456789,Lexogram,REGEX,finance,VAT / EIN / TIN numbers require exact match — paraphrases are legally meaningless.
betting_odds,No,No,"5/2, 3.50, +150",Lexogram,REGEX,finance,Odds formats encode precise probability representations; exact match matters.
ticket_like,No,No,"INV-2026-000123, TCK-84721",Lexogram,REGEX,finance,"Invoice / ticket reference shapes. Assumptive (MODERATE): fires on chemical/protein codes (IL-10, TDP-43) in scientific text."
legal_citation,No,No,"17 U.S.C. § 107, 539 F.3d 1024",Lexogram,REGEX,legal,Legal citations are canonical document keys — a mismatched section number returns the wrong authority.
court_docket,No,No,"1:21-cv-02547, 2:19-cr-00123",Lexogram,REGEX,legal,Docket numbers are unique case identifiers; exact match required for case-law retrieval.
neutral_citation,No,No,"ECLI:EU:C:2019:772, [2019] UKSC 41",Lexogram,REGEX,legal,Neutral / ECLI citations are the primary keys in EU and Commonwealth legal corpora.
celex,No,No,32016R0679,Lexogram,REGEX,legal,EU CELEX IDs are document-level exact keys in EUR-Lex.
legislative_citation,No,No,"Pub. L. 117-58, 88 FR 12345",Lexogram,REGEX,legal,Public Law and Federal Register references are exact document pointers.
eu_regulatory_citation,No,No,"Art. 6(1)(a) GDPR, Regulation (EU) 2016/679",Lexogram,REGEX,legal,EU regulatory article citations require exact article/paragraph match.
patent_number,No,No,"US10123456B2, EP1234567A1",Lexogram,REGEX,legal,Patent numbers are globally unique exact identifiers.
national_id,No,No,"123-45-6789 (SSN), QQ123456C (NINO)",Lexogram,REGEX,legal,National ID formats are PII — detection enables redaction before routing.
medical_code,No,No,"J45.909, rs429358",Lexogram,REGEX,medical,ICD / SNP codes are exact clinical lookup keys — wrong code → wrong disease.
